"CODMUNDV";"Zona";"LAT";"LONG";"NOME_MUNIC";"NOME_UF";"UF";"REG";"CENTR";"RM";"MUN_HIS_TUR";"POP_2010";"POP_URB_10";"POP_2015";"POP_2016";"TXC_POP_10_16";"AREA";"DENS_2016";"PREF_12";"PART_12";"PREF_16";"PART_16";"ANTEN_TOTAL";"AREA_URB";"PIB";"PIB_PER_CAP";"PRIN_ATIVIDADE";"REC_TOTAL";"REC_PROP";"Perc.receitpropria";"DESP_TCU";"RENDA";"VEIC_2016";"AUTO_2016";"MOTO_2016";"VEIC_2010";"AUTO_2010";"MOTO_2010";"TXC_AUTO_10_16";"TXC_MOTO_10_16";"ACESS";"PAV";"CAL";"ARB";"LOGR";"TX_ACID_TRAN";"IDH";"PD";"PD_ANO";"PDMU";"VEIC_HAB";"MOTO_HAB";"AUTO_HAB"
3526902;714;-22,57200022;-47,39344621;"Limeira";"SÃO PAULO";"SP";"Sudeste";"Centro Subregional A";"AUP";1;276022;"97%";296440;298701;0,018001169;581;514,1153184;"PAULO CEZAR JUNQUEIRA HADICH";"PSB";"MÁRIO CELSO BOTION";"PSD";130;56,77;10392186,2;35620,41969;"Serviços";934624606;673331937,6;"0,720430356";"17395165,28";918,8837223;196795;137983;43458;145547;101029;33357;0,064329025;0,054329966;0,023136525;"84%";0,82781613;0,789892225;0,8276785;"15,29946146";0,775;"Sim";"1998";"Não";0,658836093618702;0,145489971576928;0,461943548900071
3530904;715;-22,93152948;-47,56361015;"Mombuca";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;3266;"82%";3441;3456;0,013134543;133,7;25,84891548;"MARIA RUTH BELLANGA DE OLIVEIRA";"PR";"MARIA RUTH BELLANGA DE OLIVEIRA";"PR";5;0;59970,70362;17581,56072;"Agropecuária";20111781,32;5115716,07;"0,254364146";"Não informado";699,1414286;1666;1193;278;1049;733;183;0,102319002;0,087223275;NA;"55%";0,534220323;0,474389531;0,109256974;"116,7542323";0,719;"Não";"-";"Não";0,482060185185185;0,0804398148148148;0,345196759259259
3538709;700;-22,72163855;-47,63445661;"Piracicaba";"SÃO PAULO";"SP";"Sudeste";"Capital Regional C";"AUP";1;364571;"98%";391449;394419;0,017942547;1376,9;286,454354;"GABRIEL FERRATO DOS SANTOS";"PSDB";"BARJAS NEGRI";"PSDB";198;78,81;20273704,33;52619,74664;"Serviços";1403085002;1056696711;"0,753123802";"2021605,78";1106,272895;277223;196407;57673;209698;149557;43614;0,056014894;0,057473091;0,025890551;"85%";0,829472022;0,820151934;0,784998543;"19,82431027";0,785;"Sim";"2006";"Sim";0,702864212930919;0,14622267182869;0,497965361709248
3542107;716;-23,01495616;-47,52620057;"Rafard";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;8612;"88%";9004;9030;0,011190233;121,4;74,38220758;"ANTONIO CESAR RODRIGUES MOREIRA";"PMDB";"ILSON DONIZETE MAIA";"PSD";5;0;190029,162;21227,56502;"Indústria";36012912,69;19654495,89;"0,545762462";"Não informado";697,0516667;5099;3527;1067;3724;2523;796;0,06929526;0,060352514;0,00852934;"75%";0,740810974;0,745091595;0,57260998;"44,54839069";0,745;"Sim";"1972";"Sem informação";0,564673311184939;0,118161683277962;0,390586932447398
3543907;717;-22,4048158;-47,56493438;"Rio Claro";"SÃO PAULO";"SP";"Sudeste";"Centro Subregional A";"AUP";0;186253;"98%";199961;201473;0,017912637;498,7;403,9963906;"PALMINIO ALTIMARI FILHO";"PMDB";"JOAO TEIXEIRA JUNIOR";"DEM";56;38,42;7665018,599;38944,10962;"Serviços";712583606,7;507304126,7;"0,711922253";"Não informado";1004,806934;154592;92856;51615;115926;68737;39863;0,061998442;0,053031082;0,018491385;"91%";0,869937208;0,769731167;0,728479104;"20,66396859";0,803;"Sim";"1992";"Sim";0,767308770902305;0,25618817409777;0,460885577720092
3544004;718;-22,84181269;-47,6036682;"Rio Das Pedras";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;29501;"97%";32982;33464;0,028276859;226,7;147,6135862;"JULIO CESAR BARROS AYRES";"PPS";"ANTONIO CARLOS DEFAVARI";"PSDB";9;0;1129909,766;35329,55305;"Serviços";92646364,54;47261072,57;"0,510123336";"Não informado";823,5832653;17728;12702;3194;12306;8687;2265;0,078947859;0,07115752;0,028138556;"85%";0,796060984;0,795196778;0,553069285;"30,7796485";0,759;"Sim";"2006";"Não";0,5297633277552;0,0954458522591441;0,379572077456371
3545159;719;-22,84512327;-47,67683207;"Saltinho";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;7059;"83%";7818;7919;0,025860059;99,7;79,42828485;"CLAUDEMIR FRANCISCO TORINA";"PDT";"CARLOS ALBERTO LISI";"PSDB";5;0;178360,736;23446,92204;"Serviços";25913099,12;13143251,88;"0,50720494";"Não informado";927,709;4937;3696;533;3686;2750;416;0,060913202;0,050816239;0,042271269;"78%";0,772051565;0,749732691;0,34022653;"12,96344309";0,791;"Sim";"1995";"Sem informação";0,623437302689734;0,067306478090668;0,466725596666246
3546702;720;-22,45579877;-47,53249067;"Santa Gertrudes";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;21634;"99%";24737;25192;0,03407622;98;257,0612245;"ROGERIO PASCON";"PTB";"ROGERIO PASCON";"PTB";5;0;1344571,097;56511,20486;"Indústria";93481642,81;52068038,44;"0,556986772";"Não informado";745,6775;14502;9071;4143;9670;6026;2727;0,085238539;0,087241345;0,010631827;"92%";0,850158566;0,881718872;0,817088751;"16,47989453";0,737;"Sim";"2002";"Não";0,575658939345824;0,164456970466815;0,360074626865672
3547007;721;-22,56456844;-48,15425653;"Santa Maria Da Serra";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;5413;"88%";5902;5962;0,0218574;257,2;23,18040435;"JOSIAS ZANI NETO";"DEM";"NARCISO BENEDITO BISTAFA";"SD";5;0;135886,038;23525,9761;"Indústria";21064236,85;8095070,72;"0,384304011";"Não informado";609,497;3180;2216;349;2088;1410;235;0,094637013;0,082309606;0,013343718;"74%";0,711077209;0,728003531;0,747309613;"17,12328767";0,686;"Sim";"2008";"Não";0,533378061053338;0,0585374035558537;0,371687353237169
3550407;722;-22,54981932;-47,90393803;"São Pedro";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";1;31662;"84%";34284;34595;0,020089519;611;56,6202946;"HELIO DONIZETE ZANATTA";"PPS";"HELIO DONIZETE ZANATTA";"PSD";13;0;502671,0715;14943,54811;"Serviços";110109342,5;53968249,69;"0,490133248";"Não informado";794,1455385;22077;15542;4767;15259;10704;3317;0,077437683;0,075226442;0,008205731;"60%";0,584118668;0,658362874;0,649476305;"20,60884414";0,755;"Sim";"2010";"Não";0,638155802861685;0,13779447897095;0,449255672785085
